entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,result,risk_pts,month
2025-01-09 06:05:00+00:00,2025-01-09 06:10:00+00:00,SELL,94260.5,94360.5,94110.5,94360.5,-100.0,SL,100.0,2025-01
2025-01-09 08:35:00+00:00,2025-01-09 08:40:00+00:00,BUY,93099.5,92999.5,93249.5,93249.5,150.0,TP,100.0,2025-01
2025-01-09 09:15:00+00:00,2025-01-09 09:20:00+00:00,BUY,93351.0,93251.0,93501.0,93501.0,150.0,TP,100.0,2025-01
2025-01-09 11:35:00+00:00,2025-01-09 11:40:00+00:00,SELL,93506.0,93606.0,93356.0,93356.0,150.0,TP,100.0,2025-01
2025-01-09 12:15:00+00:00,2025-01-09 12:35:00+00:00,BUY,93532.5,93432.5,93682.5,93432.5,-100.0,SL,100.0,2025-01
2025-01-09 14:10:00+00:00,2025-01-09 14:15:00+00:00,BUY,92358.0,92258.0,92508.0,92508.0,150.0,TP,100.0,2025-01
2025-01-09 20:55:00+00:00,2025-01-09 21:00:00+00:00,BUY,92131.0,92031.0,92281.0,92031.0,-100.0,SL,100.0,2025-01
2025-01-09 21:45:00+00:00,2025-01-09 21:50:00+00:00,SELL,91919.5,92019.5,91769.5,92019.5,-100.0,SL,100.0,2025-01
2025-01-10 00:20:00+00:00,2025-01-10 00:35:00+00:00,SELL,92505.5,92605.5,92355.5,92605.5,-100.0,SL,100.0,2025-01
2025-01-10 00:45:00+00:00,2025-01-10 00:50:00+00:00,SELL,92536.0,92636.0,92386.0,92636.0,-100.0,SL,100.0,2025-01
2025-01-10 04:50:00+00:00,2025-01-10 05:15:00+00:00,BUY,93756.5,93656.5,93906.5,93656.5,-100.0,SL,100.0,2025-01
2025-01-10 06:40:00+00:00,2025-01-10 06:55:00+00:00,BUY,94068.0,93968.0,94218.0,94218.0,150.0,TP,100.0,2025-01
2025-01-10 09:10:00+00:00,2025-01-10 09:25:00+00:00,BUY,94723.5,94623.5,94873.5,94873.5,150.0,TP,100.0,2025-01
2025-01-10 10:20:00+00:00,2025-01-10 10:25:00+00:00,SELL,94732.5,94832.5,94582.5,94832.5,-100.0,SL,100.0,2025-01
2025-01-10 12:45:00+00:00,2025-01-10 12:55:00+00:00,BUY,94870.5,94770.5,95020.5,95020.5,150.0,TP,100.0,2025-01
2025-01-10 14:45:00+00:00,2025-01-10 14:50:00+00:00,BUY,94452.5,94352.5,94602.5,94352.5,-100.0,SL,100.0,2025-01
2025-01-10 15:40:00+00:00,2025-01-10 15:45:00+00:00,BUY,94070.0,94070.0,94220.0,94070.0,0.0,C2C,0.0,2025-01
2025-01-10 17:20:00+00:00,2025-01-10 17:25:00+00:00,BUY,93861.5,93861.5,94011.5,94011.5,150.0,TP,0.0,2025-01
2025-01-10 18:45:00+00:00,2025-01-10 18:50:00+00:00,BUY,94959.5,94859.5,95109.5,94859.5,-100.0,SL,100.0,2025-01
2025-01-10 19:15:00+00:00,2025-01-10 19:20:00+00:00,BUY,94968.5,94868.5,95118.5,94868.5,-100.0,SL,100.0,2025-01
2025-01-11 00:00:00+00:00,2025-01-11 00:15:00+00:00,SELL,94643.5,94743.5,94493.5,94493.5,150.0,TP,100.0,2025-01
2025-01-11 01:00:00+00:00,2025-01-11 01:05:00+00:00,BUY,94584.5,94484.5,94734.5,94484.5,-100.0,SL,100.0,2025-01
2025-01-11 02:10:00+00:00,2025-01-11 02:55:00+00:00,SELL,94276.5,94376.5,94126.5,94376.5,-100.0,SL,100.0,2025-01
2025-01-11 04:05:00+00:00,2025-01-11 04:10:00+00:00,BUY,94244.0,94144.0,94394.0,94144.0,-100.0,SL,100.0,2025-01
2025-01-11 04:25:00+00:00,2025-01-11 04:30:00+00:00,SELL,94102.0,94202.0,93952.0,93952.0,150.0,TP,100.0,2025-01
2025-01-11 06:55:00+00:00,2025-01-11 07:10:00+00:00,SELL,94191.0,94291.0,94041.0,94291.0,-100.0,SL,100.0,2025-01
2025-01-11 08:10:00+00:00,2025-01-11 08:35:00+00:00,BUY,94331.0,94231.0,94481.0,94231.0,-100.0,SL,100.0,2025-01
